occ_code,occ_title,soc10,aioe_lm,aioe_img,aioe_all,communication,responsibility,physical_condition,criticality,routine,skills,complementarity_theta,c_aioe,caioe_w50,median_theta,median_aioe_all
29-9091,Athletic Trainers,299091,0.57788336,0.53755456,5.8853183,78.5,75,78.5,83.333336,50,100,0.77555555,3.1404712,4.5128946,0.57583332,6.0017815
19-1013,Soil and Plant Scientists,191013,0.6381923,0.57549208,6.319488,65.5,67,54.5,58,53.5,100,0.66416669,4.0760698,5.1977787,0.57583332,6.0017815
17-2161,Nuclear Engineers,172161,0.67790091,0.59467858,6.6219172,67,71,38.5,65,41.5,80,0.60500002,4.6629333,5.6424251,0.57583332,6.0017815
53-5031,Ship Engineers,535031,0.53749853,0.54272687,5.7972593,55.5,62.5,79.5,79.666664,56.5,60,0.65611112,3.7859323,4.7915959,0.57583332,6.0017815
51-9123,"Painting, Coating, and Decorating Workers",519123,0.50463957,0.53938812,5.5970955,54.5,32,32,44.333332,48.5,20,0.38555554,5.1695399,5.3833175,0.57583332,6.0017815
33-9031,Gaming Surveillance Officers and Gaming Investigators,339031,0.62309062,0.58332109,6.3629065,56,60,47,79,49,40,0.55166668,4.8199015,5.591404,0.57583332,6.0017815
47-4011,Construction and Building Inspectors,474011,0.5918417,0.57978153,6.1635065,66.5,53,78,65.333336,53,60,0.62638891,4.2083054,5.1859059,0.57583332,6.0017815
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",514122,0.4963575,0.53520614,5.5827379,45.5,47,35.5,49.333332,40,40,0.42888886,4.9143605,5.248549,0.57583332,6.0017815
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",512011,0.50669473,0.54172617,5.6431122,59,58,35.5,61,47.5,40,0.50166667,4.5568132,5.0999627,0.57583332,6.0017815
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",393031,0.57652324,0.53949654,5.9254537,58,22.5,49,47.333332,33,40,0.41638887,5.2901134,5.6077838,0.57583332,6.0017815
11-3011,Administrative Services Managers,113011,0.65180433,0.56816918,6.3680606,65,76,32.5,65,50,60,0.58083332,4.6380711,5.5030656,0.57583332,6.0017815
29-1181,Audiologists,291181,0.6455853,0.55510849,6.3198652,69.5,56,44,72,52,100,0.6558333,4.1289787,5.224422,0.57583332,6.0017815
51-7032,"Patternmakers, Wood",517032,0.48263451,0.53903347,5.5577273,55,61,50.5,68.666664,51.5,60,0.57777774,4.0648603,4.8112936,0.57583332,6.0017815
15-2041,Statisticians,152041,0.69246846,0.58903086,6.658576,58.5,32.833336,22,52.222221,50.666664,93.333336,0.51592594,5.2818537,5.9702148,0.57583332,6.0017815
11-9031,"Education Administrators, Preschool and Childcare Center/Program",119031,0.66883767,0.56585938,6.4123154,63.5,89,54,81,55.5,80,0.70499998,3.8741074,5.1432114,0.57583332,6.0017815
33-1012,First-Line Supervisors of Police and Detectives,331012,0.56925517,0.55134743,5.947886,72,86.5,82.5,84.333336,55.5,60,0.73472226,3.4167299,4.6823077,0.57583332,6.0017815
47-2161,Plasterers and Stucco Masons,472161,0.4509846,0.51345134,5.2432399,48,63,72.5,59.666668,37.5,20,0.50111115,4.2368288,4.7400346,0.57583332,6.0017815
41-2021,Counter and Rental Clerks,412021,0.59826463,0.54422092,6.0699353,58.5,49.5,57,57.666668,45,40,0.51277781,4.8340287,5.451982,0.57583332,6.0017815
27-1011,Art Directors,271011,0.64830232,0.61232322,6.495481,59.5,55.5,38.5,70.666664,55.5,80,0.59944445,4.6099873,5.5527339,0.57583332,6.0017815
39-5011,Barbers,395011,0.5395425,0.53051865,5.705771,57,48,47.5,59.666668,53,60,0.5419445,4.377594,5.0416822,0.57583332,6.0017815
51-4194,"Tool Grinders, Filers, and Sharpeners",514194,0.49212882,0.54259026,5.6374989,50.5,66.5,35,59.666668,47,40,0.49777782,4.5742035,5.1058512,0.57583332,6.0017815
47-4061,Rail-Track Laying and Maintenance Equipment Operators,474061,0.45792499,0.53420353,5.4039464,65,80,92,70,51,40,0.66333336,3.4900486,4.4469976,0.57583332,6.0017815
41-1012,First-Line Supervisors of Non-Retail Sales Workers,411012,0.69378513,0.58736265,6.627861,79.5,75,49,65.333336,52.5,80,0.66888893,4.2436719,5.4357667,0.57583332,6.0017815
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,371011,0.5546447,0.52994978,5.7707019,72.5,85.5,43.5,60.666668,47,40,0.58194441,4.1965828,4.9836426,0.57583332,6.0017815
53-3031,Driver/Sales Workers,533031,0.52422905,0.53979534,5.7058401,69,43.5,74,59.666668,50,40,0.56027782,4.2730398,4.98944,0.57583332,6.0017815
45-4022,Logging Equipment Operators,454022,0.47004622,0.55514222,5.5821562,48,79,47.5,80.666664,48,20,0.53861111,4.3013616,4.9417586,0.57583332,6.0017815
27-3031,Public Relations Specialists,273031,0.7159546,0.57261044,6.6137667,72.5,45,34,65,49,80,0.57583332,4.8500957,5.7319312,0.57583332,6.0017815
53-7033,"Loading Machine Operators, Underground Mining",537033,0.46702749,0.53577834,5.4654169,57.5,69.5,41.5,60.333332,45,40,0.52305549,4.2964253,4.8809209,0.57583332,6.0017815
53-7021,Crane and Tower Operators,537021,0.47035289,0.55432767,5.5700231,56,80.5,59,76.333336,49.5,60,0.63555557,3.7520294,4.661026,0.57583332,6.0017815
19-2032,Materials Scientists,192032,0.65331209,0.59559941,6.5000997,68,64,27.5,60.333332,52.5,100,0.62055552,4.4760413,5.4880705,0.57583332,6.0017815
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",519061,0.57272345,0.55786419,6.0213547,63,73,42.5,61.333332,50,40,0.54972219,4.5728846,5.2971196,0.57583332,6.0017815
53-7111,Mine Shuttle Car Operators,537111,0.45788383,0.53504229,5.4251599,57.5,69.5,41.5,60.333332,45,40,0.52305549,4.2647791,4.8449693,0.57583332,6.0017815
17-2121,Marine Engineers and Naval Architects,172121,0.61544722,0.58524042,6.2876406,60.5,58,54.5,67.666664,50,80,0.61777776,4.3472052,5.3174229,0.57583332,6.0017815
41-2031,Retail Salespersons,412031,0.61664122,0.53668833,6.0739336,61,44.5,54.5,58,51,40,0.51499999,4.8237157,5.4488249,0.57583332,6.0017815
51-7011,Cabinetmakers and Bench Carpenters,517011,0.4724746,0.52882975,5.4362073,51,48.5,38.5,56.333332,44.5,40,0.46472219,4.5905752,5.0133915,0.57583332,6.0017815
53-6051,Transportation Inspectors,536051,0.55886495,0.55885339,5.9483705,54.75,68.75,69.625,77.916664,54.625,65,0.65111107,3.9143586,4.9313645,0.57583332,6.0017815
11-9071,Gaming Managers,119071,0.64761567,0.57364392,6.4086704,70,80.5,40.5,78.666664,56.5,60,0.64361107,4.2653265,5.3369985,0.57583332,6.0017815
49-9081,Wind Turbine Service Technicians,499081,0.5018363,0.54034185,5.5968995,69,83.5,90.5,86,46.5,60,0.72583336,3.264858,4.4308786,0.57583332,6.0017815
47-5013,"Service Unit Operators, Oil, Gas, and Mining",475013,0.49461403,0.53567863,5.5964837,61,85.5,89.5,85.666664,50,40,0.68611109,3.4869204,4.5417023,0.57583332,6.0017815
23-1023,"Judges, Magistrate Judges, and Magistrates",231023,0.72696489,0.57629234,6.7091317,89,53.5,34.5,85.333336,62,100,0.70722222,4.0385246,5.3738279,0.57583332,6.0017815
51-4061,"Model Makers, Metal and Plastic",514061,0.51177531,0.54373777,5.7000303,56.5,64,36.5,77.333336,39.5,60,0.55638891,4.2908559,4.9954433,0.57583332,6.0017815
43-9061,"Office Clerks, General",439061,0.66401565,0.57090592,6.4803305,56,40,34,48.333332,47,40,0.44222218,5.6180868,6.0492086,0.57583332,6.0017815
29-2053,Psychiatric Technicians,292053,0.5859549,0.53806478,5.9352565,61,72,50,65.666664,48.5,60,0.59527779,4.2371135,5.086185,0.57583332,6.0017815
53-7072,"Pump Operators, Except Wellhead Pumpers",537072,0.50287783,0.54141647,5.654912,53,68.5,72,73.666664,51.5,40,0.59777778,4.0228415,4.8388767,0.57583332,6.0017815
51-6052,"Tailors, Dressmakers, and Custom Sewers",516052,0.53413111,0.55836725,5.8405175,42.5,58.5,34.5,68.666664,49.5,40,0.48944443,4.7876019,5.3140597,0.57583332,6.0017815
47-4041,Hazardous Materials Removal Workers,474041,0.52235442,0.54562849,5.7241249,63,76,66,57.666668,40,60,0.60444444,4.0339179,4.8790216,0.57583332,6.0017815
51-4062,"Patternmakers, Metal and Plastic",514062,0.51856464,0.55295229,5.7582068,57.5,63.5,44,61.666668,48.5,60,0.55861115,4.3218541,5.0400305,0.57583332,6.0017815
11-2021,Marketing Managers,112021,0.68908882,0.59604949,6.6273365,76.5,53,28.5,69.333336,58.5,80,0.60972226,4.6354537,5.6313949,0.57583332,6.0017815
43-6013,Medical Secretaries,436013,0.69713718,0.56503862,6.583591,63,47,29.5,53.333332,51,40,0.47305551,5.5046139,6.0441027,0.57583332,6.0017815
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",499098,0.4730114,0.52702868,5.4276133,54.5,68.5,69,70.333336,47,40,0.58222222,3.9455733,4.6865931,0.57583332,6.0017815
39-5094,Skincare Specialists,395094,0.58286035,0.54293782,5.9161034,59,37.5,49.5,63.666668,43.5,60,0.52194446,4.6572881,5.2866955,0.57583332,6.0017815
53-7064,"Packers and Packagers, Hand",537064,0.48389971,0.50147092,5.3523078,54,65.5,40.5,54,42.5,40,0.49416667,4.3621306,4.8572192,0.57583332,6.0017815
29-2031,Cardiovascular Technologists and Technicians,292031,0.57481074,0.54976684,5.9935822,53.5,61,48.5,75,51.5,60,0.58249998,4.3553367,5.1744595,0.57583332,6.0017815
45-3011,Fishers and Related Fishing Workers,453011,0.45667136,0.52605808,5.3524752,43.5,48.5,69.5,70.333336,53.5,20,0.5088889,4.2834668,4.8179712,0.57583332,6.0017815
43-6011,Executive Secretaries and Executive Administrative Assistants,436011,0.68072116,0.57168978,6.521234,50.5,30.5,21.5,55.333332,59,60,0.46138886,5.5285573,6.0248957,0.57583332,6.0017815
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",517042,0.48299804,0.53074795,5.5250654,55,59,34.5,59.666668,47,40,0.49194449,4.5152059,5.0201359,0.57583332,6.0017815
27-4032,Film and Video Editors,274032,0.64226007,0.60522372,6.4788918,63.5,30,40.5,53.333332,43,80,0.51722217,5.1309228,5.8049073,0.57583332,6.0017815
45-3021,Hunters and Trappers,453021,0.46843189,0.53889602,5.4464359,43.5,48.5,69.5,70.333336,53.5,20,0.5088889,4.3586617,4.9025488,0.57583332,6.0017815
49-9044,Millwrights,499044,0.4761498,0.53089696,5.4638858,64.5,86.5,78.5,77.333336,46.5,40,0.65555555,3.5712566,4.517571,0.57583332,6.0017815
29-1011,Chiropractors,291011,0.59046817,0.53547335,5.9484062,62,68,49,85,62.5,100,0.71083331,3.55913,4.753768,0.57583332,6.0017815
11-9041,Architectural and Engineering Managers,119041,0.64146566,0.58880353,6.4188452,70.75,67.25,38.25,68.166664,56.75,90,0.6519444,4.2186079,5.3187265,0.57583332,6.0017815
17-2199,"Engineers, All Other",172199,0.6357646,0.58592081,6.3901939,65,56.272728,35.318184,61.090908,52.272728,83.63636,0.58931822,4.5999713,5.4950824,0.57583332,6.0017815
51-9197,Tire Builders,519197,0.46083385,0.5066095,5.3084517,47,56.5,41.5,52.666668,31.5,40,0.44861114,4.5682173,4.9383345,0.57583332,6.0017815
35-3041,"Food Servers, Nonrestaurant",353041,0.54795545,0.52121705,5.7068715,64,70.5,47.5,61.333332,49.5,40,0.55472219,4.3055177,5.0061946,0.57583332,6.0017815
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",537062,0.45778754,0.50934076,5.2641568,50,54.5,64,65.666664,46.5,40,0.53444445,4.0782595,4.6712079,0.57583332,6.0017815
11-3131,Training and Development Managers,113131,0.70047867,0.58558095,6.6135397,71,56.5,28.5,58.333332,55,80,0.58222216,4.8076763,5.710608,0.57583332,6.0017815
31-9092,Medical Assistants,319092,0.60621995,0.54844815,6.1020989,54.5,59,41.5,67.333336,47,60,0.54888892,4.6392899,5.3706946,0.57583332,6.0017815
37-2012,Maids and Housekeeping Cleaners,372012,0.49781427,0.50142896,5.367166,49,47,29,38.666668,43,20,0.37777779,4.998919,5.1830425,0.57583332,6.0017815
25-1072,"Nursing Instructors and Teachers, Postsecondary",251072,0.64971972,0.55183434,6.2676506,82,74,36,73.666664,53.5,100,0.69861108,3.8267491,5.0471997,0.57583332,6.0017815
29-1021,"Dentists, General",291021,0.55629104,0.55756181,5.9528441,61.5,92,50.5,89.666664,61,100,0.75777775,3.2823322,4.617588,0.57583332,6.0017815
47-5021,"Earth Drillers, Except Oil and Gas",475021,0.50050795,0.55566013,5.7182221,54.5,75.5,72.5,76.833336,49,40,0.61388892,3.9757526,4.8469872,0.57583332,6.0017815
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",251111,0.73619705,0.5646826,6.6611285,83,46,35,65.666664,59.5,100,0.64861107,4.4000459,5.5305872,0.57583332,6.0017815
29-2032,Diagnostic Medical Sonographers,292032,0.56256801,0.54977745,5.915556,46,49,48,75,48.5,60,0.54416668,4.5254002,5.2204781,0.57583332,6.0017815
41-2022,Parts Salespersons,412022,0.58488125,0.54380411,5.9811692,49,58,54.5,68.333336,54.5,40,0.5405556,4.5971928,5.2891812,0.57583332,6.0017815
27-3042,Technical Writers,273042,0.69874221,0.58671707,6.568274,57,29,23,61.333332,45,80,0.49222219,5.3659153,5.9670944,0.57583332,6.0017815
47-2181,Roofers,472181,0.45307896,0.5096662,5.2444329,53.5,74.5,88.5,65,50.5,40,0.62,3.6142883,4.4293609,0.57583332,6.0017815
17-3023,Electrical and Electronic Engineering Technicians,173023,0.59272569,0.58045113,6.197597,59.5,60,44.5,67.666664,54.5,60,0.57694441,4.5380187,5.3678079,0.57583332,6.0017815
45-2091,Agricultural Equipment Operators,452091,0.47991115,0.53322649,5.5183949,45,51.5,61,47.333332,49.5,20,0.45722219,4.7013659,5.1098804,0.57583332,6.0017815
35-3011,Bartenders,353011,0.55086863,0.52767104,5.7569199,48.5,36.5,42,51,44.5,40,0.4375,5.018115,5.3875175,0.57583332,6.0017815
53-4041,Subway and Streetcar Operators,534041,0.50794047,0.5507527,5.7571206,48.5,63.5,69,69,32.5,40,0.53750002,4.4425778,5.0998492,0.57583332,6.0017815
11-3121,Human Resources Managers,113121,0.70239472,0.57974303,6.6297641,73,69,24,77.666664,60,80,0.63944441,4.4401007,5.5349321,0.57583332,6.0017815
49-3093,Tire Repairers and Changers,493093,0.46424738,0.5152002,5.3355832,55,68.5,56.5,73,47,40,0.56666666,3.9616706,4.6486268,0.57583332,6.0017815
53-6061,"Transportation Attendants, Except Flight Attendants",536061,0.57595938,0.52619141,5.8654451,38,47,73.5,49.666668,32.5,40,0.46777782,4.9351201,5.4002829,0.57583332,6.0017815
47-2141,"Painters, Construction and Maintenance",472141,0.46786645,0.51471943,5.3187852,58.5,70,62,56,40,40,0.54416668,4.0688705,4.6938281,0.57583332,6.0017815
51-2092,Team Assemblers,512092,0.51486629,0.53695506,5.6602077,62,61.5,35.5,57.666668,45.5,40,0.50361115,4.5596118,5.1099095,0.57583332,6.0017815
17-1011,"Architects, Except Landscape and Naval",171011,0.6382941,0.61588609,6.5065842,66.5,55.5,47.5,62.333332,49.5,100,0.63555551,4.3829079,5.444746,0.57583332,6.0017815
51-9071,Jewelers and Precious Stone and Metal Workers,519071,0.53155327,0.581397,5.9641266,52.125,46,29.125,59.166668,49.5,60,0.49319449,4.8665614,5.4153438,0.57583332,6.0017815
13-1041,Compliance Officers,131041,0.63499534,0.57603693,6.3400617,61.5,40.785713,54.714287,63.619049,49.5,68.571426,0.56448418,4.721333,5.5306973,0.57583332,6.0017815
11-1011,Chief Executives,111011,0.69808829,0.58838463,6.6363454,75,67,37.25,72.833336,60.25,100,0.68722224,4.1274381,5.3818917,0.57583332,6.0017815
33-2021,Fire Inspectors and Investigators,332021,0.57306474,0.57524365,6.0685668,69.5,64.5,73,75.666664,60,60,0.67111111,3.8720827,4.970325,0.57583332,6.0017815
31-9093,Medical Equipment Preparers,319093,0.51960099,0.53987592,5.7051387,53,78,38.5,74.333336,49,40,0.55472225,4.3042102,5.0046744,0.57583332,6.0017815
11-2011,Advertising and Promotions Managers,112011,0.69024009,0.59615755,6.618031,68,54,41.5,63,54.5,80,0.60166669,4.6822567,5.6501441,0.57583332,6.0017815
33-3012,Correctional Officers and Jailers,333012,0.52877682,0.52061313,5.6345181,65.5,78,63.5,72.666664,47.5,40,0.61194444,3.9285114,4.7815146,0.57583332,6.0017815
51-4192,"Layout Workers, Metal and Plastic",514192,0.50593376,0.55460066,5.7090735,55.5,58,43.5,57.333332,43,40,0.49555552,4.6449661,5.1770196,0.57583332,6.0017815
47-4021,Elevator Installers and Repairers,474021,0.50662744,0.546148,5.6467166,53,79.5,63,85.666664,59,60,0.66694444,3.626447,4.6365819,0.57583332,6.0017815
45-4023,Log Graders and Scalers,454023,0.5258761,0.55783486,5.8196459,52.5,51.5,73.5,75,48.5,40,0.56833333,4.3113875,5.0655169,0.57583332,6.0017815
27-3021,Broadcast News Analysts,273021,0.69130129,0.57726961,6.5590405,66,37,51,71.333336,55.5,80,0.60138893,4.642343,5.6006918,0.57583332,6.0017815
29-2092,Hearing Aid Specialists,292092,0.62529373,0.56566554,6.2892089,55.5,55,38,71.666664,55,60,0.55861109,4.7204008,5.5048046,0.57583332,6.0017815
37-2021,Pest Control Workers,372021,0.52404857,0.54239655,5.70754,53.5,37.5,69.5,76.333336,56,40,0.55472225,4.3060217,5.0067811,0.57583332,6.0017815
17-1012,Landscape Architects,171012,0.65764052,0.60038519,6.5008349,68,56,49,57.333332,50,80,0.60055554,4.606564,5.5536995,0.57583332,6.0017815
41-2012,Gaming Change Persons and Booth Cashiers,412012,0.57715881,0.54548687,6.0120001,57.5,40.5,39.5,57.666668,42.5,40,0.46277782,5.08849,5.5502448,0.57583332,6.0017815
27-3022,Reporters and Correspondents,273022,0.71194035,0.5698384,6.5694809,66,37,51,71.333336,55.5,80,0.60138893,4.6497321,5.6096067,0.57583332,6.0017815
11-9021,Construction Managers,119021,0.64050561,0.60233742,6.4984689,72,86.5,65.5,77.666664,54.5,80,0.72694445,3.7835529,5.1410108,0.57583332,6.0017815
49-9062,Medical Equipment Repairers,499062,0.54010254,0.56722397,5.9097729,50,47,34.5,67.333336,53.5,60,0.52055556,4.6605124,5.2851429,0.57583332,6.0017815
43-4071,File Clerks,434071,0.60661811,0.56870574,6.1625824,44.5,63.5,24.5,38,48.5,40,0.43166667,5.4076662,5.7851243,0.57583332,6.0017815
53-7051,Industrial Truck and Tractor Operators,537051,0.45119822,0.53720284,5.4041133,50.5,69.5,59.5,81.333336,52,40,0.58805555,3.8969662,4.6505399,0.57583332,6.0017815
35-2012,"Cooks, Institution and Cafeteria",352012,0.53822654,0.53534609,5.7478628,57.5,72.5,36,64,50,40,0.53333336,4.4593835,5.1036229,0.57583332,6.0017815
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",473011,0.43011227,0.51097012,5.1590829,59.5,75.5,74.5,55,49,40,0.58916664,3.7145398,4.4368114,0.57583332,6.0017815
19-1032,Foresters,191032,0.56926429,0.56010789,5.9514689,56.5,58.5,60,70.333336,54.5,80,0.63305557,4.0238543,4.9876614,0.57583332,6.0017815
27-1014,Multimedia Artists and Animators,271014,0.62300754,0.60201883,6.3527517,57,55,34,72.666664,47.5,80,0.57694441,4.6516261,5.5021892,0.57583332,6.0017815
47-2081,Drywall and Ceiling Tile Installers,472081,0.4579882,0.51762784,5.2917485,57,57.5,57,62.333332,51,40,0.54138887,4.0628872,4.6773176,0.57583332,6.0017815
19-3032,Industrial-Organizational Psychologists,193032,0.70819652,0.58704937,6.6667519,70.5,56,25,74.333336,60,100,0.64305556,4.4407973,5.5537748,0.57583332,6.0017815
21-2011,Clergy,212011,0.71188581,0.56989199,6.6126995,90.5,42.5,38.5,77,60,100,0.68083334,4.1549797,5.3838396,0.57583332,6.0017815
29-1171,Nurse Practitioners,291171,0.61187029,0.54791862,6.1202488,65.5,68,46,89,55.5,100,0.70666665,3.6874499,4.9038496,0.57583332,6.0017815
15-1122,Information Security Analysts,151122,0.67547327,0.59601736,6.5980892,57,40,32.5,63.666668,52.5,80,0.54277784,5.0567021,5.8273954,0.57583332,6.0017815
23-2011,Paralegals and Legal Assistants,232011,0.70012099,0.58090007,6.6169796,54,22,21,55,52,60,0.44,5.7512584,6.1841187,0.57583332,6.0017815
11-9199,"Managers, All Other",119199,0.66393954,0.57956499,6.471066,68.3125,64,40,68.166664,55.375,80,0.6264236,4.4180756,5.4445705,0.57583332,6.0017815
29-1141,Registered Nurses,291141,0.60936493,0.55377847,6.1351032,69.800003,69,43.599998,82.933334,54.899998,84,0.67372221,3.8985174,5.0168104,0.57583332,6.0017815
19-1031,Conservation Scientists,191031,0.5924204,0.56122333,6.0667019,72.875,57.5,65.5,59.166668,53.375,80,0.64736116,4.014977,5.0408392,0.57583332,6.0017815
11-9032,"Education Administrators, Elementary and Secondary School",119032,0.68871856,0.57074571,6.5073361,80,83.5,48.5,74.333336,57,100,0.73888892,3.710989,5.1091628,0.57583332,6.0017815
33-9021,Private Detectives and Investigators,339021,0.63867104,0.57878423,6.3718843,52,44,47,70.333336,57,60,0.55055559,4.8337822,5.6028333,0.57583332,6.0017815
39-6012,Concierges,396012,0.67770457,0.55803329,6.4203501,76.5,57.5,40,62.333332,56.5,60,0.58805555,4.629786,5.5250678,0.57583332,6.0017815
39-1021,First-Line Supervisors of Personal Service Workers,391021,0.63979709,0.5510962,6.2256908,65.5,75,46.75,68.333336,53,60,0.61430556,4.3259907,5.2758408,0.57583332,6.0017815
49-9097,Signal and Track Switch Repairers,499097,0.4878183,0.55645227,5.6477323,56.5,76.5,66,73.333336,58,60,0.65055555,3.7196593,4.6836958,0.57583332,6.0017815
19-4091,"Environmental Science and Protection Technicians, Including Health",194091,0.57381511,0.56534702,6.0422177,67.5,60.5,65,62.666668,45,80,0.63444448,4.0768185,5.0595179,0.57583332,6.0017815
43-5081,Stock Clerks and Order Fillers,435081,0.54126173,0.52123564,5.6801095,64.5,42.5,40.5,54,50,40,0.48583335,4.6766233,5.1783667,0.57583332,6.0017815
51-9081,Dental Laboratory Technicians,519081,0.54861242,0.58159435,6.0351748,49.5,53,28,60.333332,57.5,40,0.48055553,5.000813,5.5179939,0.57583332,6.0017815
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",339092,0.55898827,0.53372854,5.8218961,62,70,71,75.333336,48,40,0.61055559,4.0672412,4.9445686,0.57583332,6.0017815
43-6012,Legal Secretaries,436012,0.68443775,0.56726021,6.491889,56.5,34,20.5,54.333332,56.5,60,0.46972218,5.4495807,5.9707346,0.57583332,6.0017815
53-7073,Wellhead Pumpers,537073,0.4919408,0.53073323,5.542717,49.5,54,59,79.666664,59.5,40,0.56944442,4.100071,4.821394,0.57583332,6.0017815
29-2056,Veterinary Technologists and Technicians,292056,0.56191379,0.53784198,5.871263,47.5,64.5,57,71.333336,50,60,0.58388889,4.2582965,5.0647798,0.57583332,6.0017815
47-2082,Tapers,472082,0.47095475,0.51664919,5.3400683,48,62.5,39,58,51,40,0.4975,4.3343554,4.8372121,0.57583332,6.0017815
25-4011,Archivists,254011,0.64535904,0.57723725,6.3395424,63.5,42,25,49,53.5,100,0.55500001,4.7810717,5.560307,0.57583332,6.0017815
17-3025,Environmental Engineering Technicians,173025,0.57545167,0.5669536,6.0543251,57.5,64,57.5,60,49,80,0.61333334,4.212801,5.133563,0.57583332,6.0017815
43-3061,Procurement Clerks,433061,0.72214139,0.57345247,6.7052298,44,38.5,29,66,56.5,40,0.45666668,5.7162085,6.2107191,0.57583332,6.0017815
35-2014,"Cooks, Restaurant",352014,0.52111852,0.54155594,5.7001977,44.5,62,49,49.666668,44.5,40,0.4827778,4.7105799,5.205389,0.57583332,6.0017815
51-6041,Shoe and Leather Workers and Repairers,516041,0.49985415,0.53059226,5.5879211,47,38.5,24.5,63,55.5,40,0.44749999,4.8149257,5.2014232,0.57583332,6.0017815
31-2011,Occupational Therapy Assistants,312011,0.57967031,0.53559083,5.8924222,61.5,80,51.5,74.666664,60,60,0.64611107,3.9070036,4.899713,0.57583332,6.0017815
33-9011,Animal Control Workers,339011,0.55264401,0.53172791,5.7665462,62.5,63.5,74,78.333336,55.5,40,0.62305558,3.9564912,4.8615189,0.57583332,6.0017815
35-1011,Chefs and Head Cooks,351011,0.57132369,0.54347253,5.913938,75.5,80,58,70,48,60,0.65249997,3.8834863,4.8987122,0.57583332,6.0017815
15-1134,Web Developers,151134,0.65356708,0.59998065,6.5256605,53.5,37,22.5,63,53,60,0.48166665,5.3999844,5.9628224,0.57583332,6.0017815
41-1011,First-Line Supervisors of Retail Sales Workers,411011,0.60326594,0.54217857,6.0432262,61.5,69,46,60.333332,54,40,0.55138886,4.579423,5.3113246,0.57583332,6.0017815
27-1021,Commercial and Industrial Designers,271021,0.63397139,0.60530305,6.4254017,68.5,53.5,30.5,64.333336,49,80,0.5763889,4.7083917,5.5668964,0.57583332,6.0017815
17-2031,Biomedical Engineers,172031,0.64886081,0.59710097,6.4796658,64.5,55,28,62,53,80,0.57083333,4.7841535,5.6319094,0.57583332,6.0017815
33-3051,Police and Sheriff's Patrol Officers,333051,0.53124958,0.53917533,5.7327929,65.5,72,82,82,52.5,60,0.69,3.5495543,4.6411734,0.57583332,6.0017815
17-2112,Industrial Engineers,172112,0.6635195,0.59285516,6.5411687,70.75,64.25,41,65.333336,56.75,90,0.64680558,4.3326154,5.436892,0.57583332,6.0017815
13-1131,Fundraisers,131131,0.70628673,0.57331508,6.5946727,77,43.5,37.5,61.666668,57.5,80,0.59527779,4.7078633,5.651268,0.57583332,6.0017815
53-3033,Light Truck or Delivery Services Drivers,533033,0.48331171,0.53847897,5.5295081,45,26,72,68.333336,45.5,40,0.49472225,4.5034771,5.0164924,0.57583332,6.0017815
13-1151,Training and Development Specialists,131151,0.69928658,0.57917064,6.5747685,78.5,52.5,35.5,53.666668,56,80,0.59361112,4.7046123,5.6396904,0.57583332,6.0017815
11-9039,"Education Administrators, All Other",119039,0.63979477,0.55113685,6.200295,76,67,43.5,56.333332,59,80,0.63638884,4.1714211,5.1858578,0.57583332,6.0017815
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",372011,0.4924877,0.51037252,5.3872051,51,63,41.5,59.666668,53.5,40,0.51444447,4.2813315,4.8342681,0.57583332,6.0017815
49-9096,Riggers,499096,0.47669747,0.54077047,5.483974,73,82.5,81.5,74.333336,48.5,40,0.66638893,3.5249765,4.5044751,0.57583332,6.0017815
51-2093,Timing Device Assemblers and Adjusters,512093,0.53165632,0.57102549,5.9195023,48.5,22.5,26,58,53.5,40,0.41416666,5.2979546,5.6087284,0.57583332,6.0017815
13-1075,Labor Relations Specialists,131075,0.70857388,0.57906967,6.6362624,71.5,47,33,72,56.5,80,0.60000002,4.7062159,5.6712394,0.57583332,6.0017815
31-9091,Dental Assistants,319091,0.55644494,0.53052413,5.7970877,70.5,72.5,47,60.333332,45.5,60,0.59305555,4.1513591,4.9742231,0.57583332,6.0017815
35-3031,Waiters and Waitresses,353031,0.54587483,0.50115401,5.6072187,54.5,46.5,43.5,42,39,40,0.4425,4.8595896,5.2334042,0.57583332,6.0017815
43-5061,"Production, Planning, and Expediting Clerks",435061,0.64266497,0.57079238,6.3500676,64,55.5,33.5,75.333336,57.5,40,0.54305559,4.8648572,5.6074624,0.57583332,6.0017815
33-3052,Transit and Railroad Police,333052,0.52230132,0.53747469,5.664712,62,77,86,79.666664,54.5,60,0.69861108,3.4586215,4.561667,0.57583332,6.0017815
